;__v;_id;ph;sal;status;timestamp
0;0;60b71e94b2ce4d00619e1a78;7.58;16.225;normal;2021-06-02T06:00:52.180Z
1;0;60b72c8ab2ce4d00619e1aea;7.52;16.175;normal;2021-06-02T07:00:26.698Z
2;0;60b73a81b2ce4d00619e1b5c;8.04;16.875;normal;2021-06-02T08:00:01.308Z
3;0;60b748bfb2ce4d00619e1bd0;8.072;16.1375;normal;2021-06-02T09:00:47.503Z
4;0;60b756b6b2ce4d00619e1c42;7.57;13.6625;normal;2021-06-02T10:00:22.342Z
5;0;60b772e8b2ce4d00619e1d28;7.53;16.25;normal;2021-06-02T12:00:40.964Z
6;0;60b780dfb2ce4d00619e1d9a;7.61;16.2375;normal;2021-06-02T13:00:15.891Z
7;0;60b79d12b2ce4d00619e1e80;7.7644;13.6625;normal;2021-06-02T15:00:34.773Z
8;0;60b7ab09b2ce4d00619e1ef2;7.70928;16.9625;normal;2021-06-02T16:00:09.210Z
9;0;60b7b91eb2ce4d00619e1f64;7.636736;16.925;normal;2021-06-02T17:00:14.306Z
10;0;60b7c75ab2ce4d00619e1fd8;7.6500832;13.6625;normal;2021-06-02T18:00:58.331Z
11;0;60b7d550b2ce4d00619e204d;7.52;16.175;normal;2021-06-02T19:00:32.739Z
12;0;60b7e347b2ce4d00619e20bf;7.65609984;16.8875;normal;2021-06-02T20:00:07.245Z
13;0;60b7f1836d9df00031b34c1d;7.634439808;16.875;normal;2021-06-02T21:00:51.779Z
14;0;60b7ff7a798e290033d9043e;7.61947177;16.2;normal;2021-06-02T22:00:26.302Z
15;0;60b80d70284ab8003150c8f3;7.616018924;16.825;normal;2021-06-02T23:00:00.811Z
16;0;60b81bad791ac900324c47b3;7.609206068;16.8125;normal;2021-06-03T00:00:45.365Z
17;0;60b829a3791ac900324c4825;7.627047282;16;normal;2021-06-03T01:00:19.762Z
18;0;60b845d73775db0033a64796;7.62123677;13.65;normal;2021-06-03T03:00:39.263Z
19;0;60b853cd3775db0033a64808;7.618596163;15.9;normal;2021-06-03T04:00:13.655Z
20;0;60b8620a3775db0033a6487c;7.618421041;15.8125;normal;2021-06-03T05:00:58.109Z
21;0;60b870003775db0033a648ee;7.97;16.5375;normal;2021-06-03T06:00:32.821Z
22;0;60b87df63775db0033a64960;7.691060251;16.6125;normal;2021-06-03T07:00:06.837Z
23;0;60b88c333775db0033a649d4;7.703862845;13.65;normal;2021-06-03T08:00:51.391Z
24;0;60b89a2c3775db0033a64a46;7.72038806;13.925;normal;2021-06-03T09:00:28.043Z
25;0;60b8a8223775db0033a64ab8;7.74074644;16.625;normal;2021-06-03T10:00:02.441Z
26;0;60b8b65f3775db0033a64b2c;7.765211519;16.6625;normal;2021-06-03T11:00:47.013Z
27;0;60b8c4553775db0033a64b9e;7.724253823;16.65;normal;2021-06-03T12:00:21.205Z
28;0;60b8e0886a26cb003481206d;7.730892537;13.6625;normal;2021-06-03T14:00:40.466Z
29;0;60b8ee7e6a26cb00348120df;7.736298476;16.7375;normal;2021-06-03T15:00:14.882Z
30;0;60b8fcbb6a26cb0034812153;7.68;16.1;normal;2021-06-03T16:00:59.260Z
31;0;60b90ab2d928fb00326f1dd2;7.727331271;16.0125;normal;2021-06-03T17:00:34.038Z
32;0;60b918a8d928fb00326f1e44;7.719755221;15.9375;normal;2021-06-03T18:00:08.461Z
33;0;60b926e6b9c6200032b31974;7.718855501;16.0625;normal;2021-06-03T19:00:54.439Z
34;0;60b934e1b9c6200032b319e7;7.716448094;16.6875;normal;2021-06-03T20:00:33.056Z
35;0;60b942d7f9f9d100330d68f3;7.712478018;15.9875;normal;2021-06-03T21:00:07.566Z
36;0;60b95114f9f9d100330d6967;7.718973621;13.6625;normal;2021-06-03T22:00:52.221Z
37;0;60b95f0af9f9d100330d69d9;7.717302091;16;normal;2021-06-03T23:00:26.729Z
38;0;60b96d013c80ba004e07bb03;7.716811465;16.6875;normal;2021-06-04T00:00:01.351Z
39;0;60b97b3e3c80ba004e07bb77;7.716402658;16.625;normal;2021-06-04T01:00:46.022Z
40;0;60b989343c80ba004e07bbe9;7.71639357;13.65;normal;2021-06-04T02:00:20.642Z
41;0;60b9a5673857150033bf2391;7.717176681;15.7;normal;2021-06-04T04:00:39.887Z
42;0;60b9b35e3857150033bf23fc;7.716817293;15.7875;normal;2021-06-04T05:00:14.189Z
43;0;60b9cf91c96ddf003a5a1bae;7.716720333;13.65;normal;2021-06-04T07:00:33.463Z
44;0;60b9dd88c96ddf003a5a1c1e;7.716702107;15.6;normal;2021-06-04T08:00:08.087Z
45;0;60b9ebc6c96ddf003a5a1c89;7.716761997;16.5;normal;2021-06-04T09:00:54.491Z
46;0;60b9f9bcc96ddf003a5a1cfc;7.716835682;16.55;normal;2021-06-04T10:00:28.999Z
47;0;60ba07b3c96ddf003a5a1d6e;7.716767483;15.775;normal;2021-06-04T11:00:03.717Z
48;0;60ba15f0c96ddf003a5a1de2;7.71675752;16.575;normal;2021-06-04T12:00:48.174Z
49;0;60ba23e6c96ddf003a5a1e54;7.716764958;15.875;normal;2021-06-04T13:00:22.977Z
50;0;60ba4019da79f5003087170c;7.716777528;16.6875;normal;2021-06-04T15:00:41.950Z
51;0;60ba4e10da79f5003087177e;7.716780634;16.7625;normal;2021-06-04T16:00:16.456Z
52;0;60ba6a43da79f50030871863;7.716769625;16.725;normal;2021-06-04T18:00:35.616Z
53;0;60ba783ada79f500308718d5;7.716770053;13.6625;normal;2021-06-04T19:00:10.126Z
54;0;60ba867759824800319ab20c;7.97;16.7125;normal;2021-06-04T20:00:55.093Z
55;0;60ba946d59824800319ab27e;7.767419568;16.7625;normal;2021-06-04T21:00:29.286Z
56;0;60baa26359824800319ab2f0;7.64;16.6875;normal;2021-06-04T22:00:03.909Z
57;0;60bab0a059824800319ab364;7.762191849;15.9125;normal;2021-06-04T23:00:48.473Z
58;0;60babe9759824800319ab3d6;7.771276294;15.9375;normal;2021-06-05T00:00:23.083Z
59;0;60badaca656d280033d956fa;7.782177542;15.8125;normal;2021-06-05T02:00:42.255Z
60;0;60bae8c0656d280033d9576c;7.744613051;13.7125;normal;2021-06-05T03:00:16.746Z
61;0;60bb04f46af59e0031d9b6d9;7.9;16.3625;normal;2021-06-05T05:00:36.038Z
62;0;60bb12ea6af59e0031d9b74b;7.88;16.4;normal;2021-06-05T06:00:10.963Z
63;0;60bb21276af59e0031d9b7bf;7.82;16.3875;normal;2021-06-05T07:00:55.322Z
64;0;60bb2f1d6af59e0031d9b831;7.68;16.2875;normal;2021-06-05T08:00:29.695Z
65;0;60bb3d166af59e0031d9b8a3;7.80492261;15.55;normal;2021-06-05T09:00:06.168Z
66;0;60bb4b52e912f30032415df0;7.816984522;15.6;normal;2021-06-05T10:00:50.930Z
67;0;60bb5949e912f30032415e62;7.92;16.4;normal;2021-06-05T11:00:25.343Z
68;0;60bb757ce912f30032415f48;7.808381426;15.825;normal;2021-06-05T13:00:44.910Z
69;0;60bb837d351bca00324685fa;7.92;16.475;normal;2021-06-05T14:00:29.813Z
70;0;60bb9172351bca003246866c;7.854057712;16.625;normal;2021-06-05T15:00:02.424Z
71;0;60bb9faf351bca00324686e0;7.863884732;15.875;normal;2021-06-05T16:00:47.476Z
72;0;60bbada5351bca0032468752;7.873264774;15.7125;normal;2021-06-05T17:00:21.490Z
